Employee_ID;First Name;Last Name;Gender;State;City;Education Level;Birthdate;Hiredate;Termdate;Termination_Reason;Department;Job Title;Salary;Salary_Band;Performance Rating;Engagement_Score;Last_Promotion_Date;Remote_Eligible;Overtime
00-84752529;Jacqueline;Sutton;Female;New York;New York City;Master;29/06/1979;28/01/2017;06/08/2022;Voluntary - Better Opportunity;Sales;Sales Manager;95771;Band 1 (Bottom 25%);Good;;;No;No
00-17507864;Chelsea;Jackson;Male;North Carolina;Raleigh;PhD;10/07/1994;11/10/2017;09/04/2018;Voluntary - Better Opportunity;Sales;Sales Specialist;68159;Band 1 (Bottom 25%);Excellent;;;No;Yes
00-52339391;John;Ford;Male;Pennsylvania;Philadelphia;Bachelor;15/07/2002;15/04/2019;12/10/2019;Voluntary - Career Change;Sales;Sales Consultant;98542;Band 2 (25-50%);Satisfactory;;;No;Yes
00-86125617;Veronica;Bowman;Male;New York;New York City;Bachelor;16/04/1990;05/08/2017;06/02/2018;Voluntary - Better Opportunity;Operations;Logistics Coordinator;69884;Band 2 (25-50%);Good;;;No;No
00-97971488;Jeffrey;Nguyen;Male;New York;New York City;Bachelor;18/12/1992;25/10/2020;27/10/2021;Voluntary - Better Opportunity;Operations;Inventory Specialist;71256;Band 2 (25-50%);Good;;;No;No
00-29175900;Kimberly;Perez;Male;New York;New York City;Bachelor;19/11/1970;13/01/2017;;;Marketing;Content Creator;85676;Band 4 (Top 25%);Good;3.1;29/09/2018;Yes;No
00-85345555;Linda;Morales;Male;New York;New York City;Bachelor;20/04/1993;26/01/2020;09/04/2021;Involuntary - Performance;Sales;Sales Specialist;74282;Band 1 (Bottom 25%);Needs Improvement;;;No;No
00-67503414;Jason;Hahn;Male;Ohio;Cleveland;Bachelor;25/01/1978;07/12/2017;04/06/2018;Voluntary - Better Opportunity;IT;System Administrator;86903;Band 1 (Bottom 25%);Excellent;;;Yes;Yes
00-39436733;Jennifer;Lewis;Male;New York;New York City;Master;18/09/1982;12/07/2018;08/01/2019;Involuntary - Redundancy;Sales;Sales Specialist;64100;Band 1 (Bottom 25%);Good;;;No;Yes
00-76238574;Randall;Rocha;Male;New York;New York City;High School;25/09/1960;27/06/2016;10/05/2021;Involuntary - Redundancy;IT;IT Support Specialist;70296;Band 2 (25-50%);Needs Improvement;;;No;No
00-24716857;Douglas;Taylor;Female;New York;New York City;Bachelor;17/07/1992;17/10/2017;16/11/2021;Involuntary - Redundancy;Customer Service;Customer Service Representative;63992;Band 1 (Bottom 25%);Satisfactory;;;No;No
00-66661351;Anna;Baker;Male;New York;New York City;PhD;12/05/1970;15/08/2020;17/11/2022;Voluntary - Relocation;Sales;Sales Specialist;77583;Band 2 (25-50%);Excellent;;;No;Yes
00-89978790;Ross;Silva;Female;New York;New York City;Bachelor;29/11/2002;20/05/2024;16/11/2024;Voluntary - Better Opportunity;Sales;Sales Specialist;88344;Band 3 (50-75%);Excellent;;;No;No
00-84252722;Jeffrey;Bright;Male;New York;New York City;Bachelor;21/05/1980;17/07/2017;13/01/2018;Involuntary - Performance;Finance;Accounts Payable Specialist;77965;Band 3 (50-75%);Satisfactory;;;No;Yes
00-25374874;Trevor;Campos;Male;New York;New York City;Master;19/02/1983;01/12/2022;30/05/2023;Voluntary - Better Opportunity;Operations;Operations Analyst;86788;Band 3 (50-75%);Excellent;;;No;No
00-45812670;Daniel;Burton;Female;New York;New York City;Bachelor;23/06/2001;04/11/2022;14/02/2024;Voluntary - Better Opportunity;IT;Software Developer;98142;Band 2 (25-50%);Excellent;;;Yes;No
00-49392920;Erin;Carlson;Male;New York;New York City;Bachelor;20/03/1984;30/05/2019;29/04/2021;Voluntary - Better Opportunity;Operations;Logistics Coordinator;67399;Band 2 (25-50%);Excellent;;;No;Yes
00-45351479;Patrick;Ferrell;Female;Michigan;Detroit;PhD;20/05/1969;24/07/2018;20/01/2019;Voluntary - Better Opportunity;Sales;Sales Consultant;121806;Band 4 (Top 25%);Excellent;;;No;Yes
00-24282218;John;Tran;Male;Virginia;Norfolk;Bachelor;15/01/1972;05/01/2017;25/01/2018;Voluntary - Personal Reasons;Operations;Logistics Coordinator;69457;Band 2 (25-50%);Satisfactory;;;No;Yes
00-95758349;Erin;Wilson;Female;New York;New York City;Bachelor;15/08/1981;09/12/2020;11/12/2021;Involuntary - Redundancy;Operations;Logistics Coordinator;52420;Band 1 (Bottom 25%);Good;;;No;No
00-60185867;Amanda;Adams;Female;New York;New York City;Bachelor;10/11/2003;06/09/2022;05/03/2023;Voluntary - Career Change;Sales;Sales Specialist;62538;Band 1 (Bottom 25%);Good;;;No;No
00-81182864;Matthew;Carter;Male;New York;New York City;High School;26/11/1979;02/03/2024;19/09/2024;Involuntary - Performance;Marketing;SEO Specialist;73743;Band 1 (Bottom 25%);Needs Improvement;;;Yes;Yes
00-75579548;Shawn;Mckay;Female;New York;New York City;Bachelor;18/04/1980;07/12/2015;13/03/2023;Voluntary - Better Opportunity;Operations;Inventory Specialist;77382;Band 3 (50-75%);Good;;;No;No
00-51273847;Jennifer;Stanton;Male;New York;New York City;Bachelor;09/12/1959;23/10/2017;02/12/2018;Involuntary - Redundancy;Customer Service;Support Specialist;68553;Band 2 (25-50%);Satisfactory;;;No;Yes
00-20570592;Guy;Gaines;Male;New York;New York City;Bachelor;15/10/2002;04/12/2016;;;Sales;Sales Representative;108877;Band 4 (Top 25%);Satisfactory;3.7;25/12/2018;No;Yes
00-19289546;Colleen;Skinner;Female;New York;New York City;Bachelor;01/12/1981;16/07/2018;12/01/2019;Voluntary - Career Change;Operations;Inventory Specialist;62314;Band 1 (Bottom 25%);Good;;;No;Yes
00-26879290;Chelsea;Hernandez;Female;Pennsylvania;Philadelphia;Master;19/10/1982;23/10/2016;05/06/2019;Voluntary - Better Opportunity;Sales;Sales Consultant;78092;Band 1 (Bottom 25%);Good;;;No;Yes
00-32162965;Evan;Ashley;Male;New York;New York City;High School;16/09/1983;25/12/2017;07/12/2018;Involuntary - Performance;Operations;Inventory Specialist;61240;Band 1 (Bottom 25%);Needs Improvement;;;No;No
00-38427073;Alyssa;Smith;Female;Michigan;Grand Rapids;Bachelor;24/04/1970;05/05/2024;01/11/2024;Voluntary - Career Change;Customer Service;Customer Service Representative;63954;Band 1 (Bottom 25%);Satisfactory;;;No;Yes
00-36998038;Tracy;Rodriguez;Female;New York;New York City;High School;07/11/1979;21/05/2022;17/11/2022;Voluntary - Career Change;Marketing;SEO Specialist;97200;Band 3 (50-75%);Needs Improvement;;;Yes;No
00-97225156;Natasha;Decker;Male;New York;New York City;PhD;05/08/1959;30/04/2018;16/11/2023;Voluntary - Better Opportunity;Sales;Sales Consultant;92070;Band 2 (25-50%);Excellent;;;No;No
00-26240908;John;Allen;Male;New York;New York City;Bachelor;15/01/1985;09/08/2017;05/02/2018;Voluntary - Career Change;Operations;Logistics Coordinator;73624;Band 3 (50-75%);Excellent;;;No;No
00-12823170;Stacey;Miller;Male;New York;New York City;Bachelor;21/06/1991;07/07/2020;14/12/2024;Voluntary - Career Change;Operations;Inventory Specialist;76269;Band 3 (50-75%);Excellent;;;No;Yes
00-39557077;Lisa;Spence;Male;New York;New York City;Master;25/08/1970;26/07/2015;18/12/2023;Voluntary - Better Opportunity;IT;Software Developer;140702;Band 4 (Top 25%);Excellent;;;Yes;No
00-17901903;Katie;Anderson;Male;New York;New York City;Bachelor;26/12/1980;04/07/2017;29/12/2021;Voluntary - Relocation;Operations;Logistics Coordinator;78769;Band 3 (50-75%);Excellent;;;No;No
00-54349361;Stacey;Martin;Male;New York;New York City;High School;27/03/1993;23/07/2016;;;Operations;Inventory Specialist;79546;Band 4 (Top 25%);Needs Improvement;1.7;;No;Yes
00-99788677;Monique;Henderson;Female;New York;New York City;Bachelor;24/06/1967;24/03/2019;20/09/2019;Involuntary - Redundancy;Customer Service;Help Desk Technician;87938;Band 3 (50-75%);Satisfactory;;;No;No
00-86644106;Sarah;Campos;Female;Pennsylvania;Philadelphia;High School;08/06/1983;24/09/2020;02/09/2022;Voluntary - Better Opportunity;Marketing;Content Creator;52489;Band 1 (Bottom 25%);Excellent;;;Yes;No
00-73481353;James;Collins;Female;New York;New York City;Bachelor;16/05/1977;18/09/2017;16/03/2018;Voluntary - Better Opportunity;Operations;Inventory Specialist;63739;Band 1 (Bottom 25%);Good;;;No;No
00-23009833;Debra;Kim;Female;Pennsylvania;Allentown;PhD;27/01/1980;21/07/2022;17/01/2023;Voluntary - Better Opportunity;Sales;Sales Specialist;93144;Band 3 (50-75%);Excellent;;;No;No
00-65177213;Shannon;Wright;Female;Michigan;Grand Rapids;High School;04/12/2002;25/01/2019;12/12/2022;Involuntary - Performance;Operations;Inventory Specialist;64647;Band 1 (Bottom 25%);Needs Improvement;;;No;No
00-97705310;Matthew;Chapman;Female;New York;New York City;Bachelor;19/09/1969;30/03/2024;26/09/2024;Involuntary - Performance;IT;Software Developer;98384;Band 2 (25-50%);Needs Improvement;;;Yes;No
00-64038913;Brianna;Smith;Male;New York;New York City;Bachelor;18/01/1974;02/10/2022;31/03/2023;Voluntary - Better Opportunity;Operations;Inventory Specialist;71163;Band 2 (25-50%);Excellent;;;No;Yes
00-35714784;Crystal;Perez;Female;New York;New York City;Bachelor;07/07/1983;18/12/2017;16/06/2018;Voluntary - Career Change;Finance;Financial Analyst;70080;Band 1 (Bottom 25%);Satisfactory;;;Yes;No
00-66623995;Anthony;Rivera;Male;New York;New York City;Bachelor;04/02/1992;19/07/2017;16/05/2021;Voluntary - Better Opportunity;Operations;Logistics Coordinator;68248;Band 2 (25-50%);Good;;;No;No
00-20117988;John;Caldwell;Female;New York;New York City;Bachelor;19/10/1982;25/03/2019;21/09/2019;Involuntary - Performance;Operations;Operations Analyst;61530;Band 1 (Bottom 25%);Needs Improvement;;;No;Yes
00-16789850;Amber;Cummings;Male;New York;New York City;Master;11/07/1986;09/12/2022;07/06/2023;Voluntary - Better Opportunity;Operations;Operations Analyst;81916;Band 2 (25-50%);Excellent;;;No;No
00-11980765;Ashley;Kennedy;Female;New York;New York City;Bachelor;24/03/2003;31/10/2018;29/04/2019;Voluntary - Career Change;Finance;Accountant;51273;Band 1 (Bottom 25%);Satisfactory;;;Yes;No
00-64547971;Thomas;Russell;Male;New York;New York City;Bachelor;04/01/1964;06/02/2019;05/03/2021;Involuntary - Performance;Finance;Accountant;110127;Band 4 (Top 25%);Needs Improvement;;;Yes;No
00-63826716;Collin;Jordan;Female;New York;New York City;Master;13/09/1965;14/06/2023;11/12/2023;Voluntary - Better Opportunity;Sales;Sales Specialist;72542;Band 1 (Bottom 25%);Excellent;;;No;No
00-10289289;Robert;Shields;Female;New York;New York City;Bachelor;29/07/1978;22/01/2024;20/07/2024;Involuntary - Redundancy;Customer Service;Help Desk Technician;59442;Band 1 (Bottom 25%);Good;;;No;No
00-71070189;Emily;Joyce;Male;New York;New York City;Bachelor;29/08/1988;08/02/2017;27/08/2023;Voluntary - Better Opportunity;Operations;Inventory Specialist;69588;Band 2 (25-50%);Good;;;No;Yes
00-84593961;Bruce;Chandler;Female;New York;New York City;High School;29/01/1966;07/11/2022;06/05/2023;Voluntary - Better Opportunity;Operations;Inventory Specialist;58828;Band 1 (Bottom 25%);Excellent;;;No;Yes
00-35487660;Michelle;Wright;Male;New York;New York City;Master;22/07/1963;15/03/2017;06/05/2018;Voluntary - Better Opportunity;Operations;Operations Manager;89005;Band 1 (Bottom 25%);Excellent;;;No;No
00-82772208;Amanda;Taylor;Female;New York;New York City;PhD;10/07/1988;12/03/2016;17/11/2016;Voluntary - Career Change;Finance;Financial Analyst;81261;Band 1 (Bottom 25%);Excellent;;;Yes;No
00-16729990;Joshua;Wright;Male;New York;New York City;Bachelor;07/10/1991;24/12/2020;30/07/2024;Voluntary - Career Change;Finance;Accountant;74467;Band 2 (25-50%);Good;;;Yes;No
00-81286543;Charles;Morton;Male;New York;New York City;Bachelor;12/09/1984;29/11/2017;28/05/2018;Involuntary - Redundancy;Finance;Accountant;74511;Band 2 (25-50%);Satisfactory;;;Yes;No
00-34941004;Andrea;Williams;Male;New York;New York City;High School;29/04/1960;28/07/2016;;;Operations;Inventory Specialist;75394;Band 3 (50-75%);Needs Improvement;1.9;;No;Yes
00-41568532;Mary;Novak;Female;New York;New York City;Bachelor;12/06/1981;26/12/2019;23/06/2020;Involuntary - Redundancy;Operations;Logistics Coordinator;58419;Band 1 (Bottom 25%);Satisfactory;;;No;No
00-87701200;Karen;Young;Male;New York;New York City;Bachelor;23/06/2001;06/06/2020;03/12/2020;Voluntary - Better Opportunity;IT;IT Support Specialist;62775;Band 1 (Bottom 25%);Excellent;;;No;No
00-66267415;Todd;Lewis;Female;Ohio;Cincinnati;Bachelor;24/02/1966;05/06/2022;06/11/2024;Voluntary - Career Change;Operations;Logistics Coordinator;69164;Band 2 (25-50%);Good;;;No;Yes
00-52462441;Rachel;Martin;Male;New York;New York City;Bachelor;25/08/1984;01/01/2024;29/06/2024;Voluntary - Better Opportunity;Sales;Sales Consultant;93941;Band 2 (25-50%);Excellent;;;No;No
00-52169044;Tricia;Baker;Female;New York;New York City;Bachelor;26/06/1998;01/11/2017;06/03/2021;Voluntary - Personal Reasons;Customer Service;Customer Service Representative;61760;Band 1 (Bottom 25%);Good;;;No;No
00-96637649;Kristen;Mitchell;Male;North Carolina;Greensboro;Bachelor;16/05/1976;28/09/2017;06/02/2024;Voluntary - Better Opportunity;Operations;Logistics Coordinator;89988;Band 4 (Top 25%);Good;;;No;No
00-19736572;Susan;Cowan;Male;New York;New York City;PhD;02/10/1989;04/08/2015;;;Sales;Sales Manager;99946;Band 1 (Bottom 25%);Excellent;3.9;09/09/2016;No;No
00-23419256;Dorothy;Tucker;Female;New York;New York City;Bachelor;17/08/1990;14/03/2016;10/09/2016;Voluntary - Better Opportunity;Marketing;SEO Specialist;85679;Band 3 (50-75%);Excellent;;;Yes;Yes
00-45594597;Kenneth;Novak;Female;New York;New York City;High School;30/09/1988;13/08/2017;10/03/2020;Involuntary - Redundancy;Customer Service;Customer Service Representative;63564;Band 1 (Bottom 25%);Needs Improvement;;;No;No
00-42787299;Jill;Brown;Female;New York;New York City;Bachelor;13/06/1982;02/05/2018;12/03/2020;Involuntary - Redundancy;Marketing;Content Creator;73718;Band 3 (50-75%);Satisfactory;;;Yes;No
00-82909480;Brian;Silva;Female;New York;New York City;Bachelor;31/10/1975;15/07/2022;11/01/2023;Involuntary - Redundancy;Operations;Logistics Coordinator;62737;Band 1 (Bottom 25%);Good;;;No;Yes
00-97775215;Samantha;Schmidt;Female;New York;New York City;Bachelor;11/01/1999;23/01/2020;30/07/2022;Voluntary - Career Change;Customer Service;Support Specialist;56364;Band 1 (Bottom 25%);Good;;;No;No
00-84437458;Susan;Miller;Female;New York;New York City;Master;06/02/2002;14/03/2017;20/04/2023;Voluntary - Relocation;HR;HR Coordinator;81222;Band 4 (Top 25%);Excellent;;;Yes;Yes
00-28024248;Casey;Jones;Female;New York;New York City;High School;09/11/1979;01/12/2017;11/02/2021;Voluntary - Better Opportunity;Customer Service;Help Desk Technician;67758;Band 1 (Bottom 25%);Excellent;;;No;No
00-84252420;Joe;Wilson;Male;New York;New York City;Bachelor;06/02/2003;12/12/2017;27/09/2022;Involuntary - Performance;Sales;Sales Representative;77559;Band 2 (25-50%);Satisfactory;;;No;Yes
00-38270233;Ashley;Riley;Male;New York;New York City;Master;05/08/1967;16/01/2022;15/07/2022;Voluntary - Relocation;Sales;Sales Consultant;73558;Band 1 (Bottom 25%);Excellent;;;No;No
00-95125977;Christine;Barnes;Male;New York;New York City;High School;22/10/1992;15/08/2017;11/02/2018;Involuntary - Performance;Operations;Inventory Specialist;57339;Band 1 (Bottom 25%);Needs Improvement;;;No;Yes
00-43704923;Annette;Stewart;Male;New York;New York City;Bachelor;19/06/1997;12/04/2023;09/10/2023;Voluntary - Better Opportunity;Sales;Sales Representative;80687;Band 3 (50-75%);Good;;;No;No
00-95132217;James;Moran;Female;New York;New York City;Bachelor;29/10/1988;03/04/2019;03/09/2024;Voluntary - Better Opportunity;Marketing;Marketing Coordinator;70443;Band 2 (25-50%);Good;;;Yes;No
00-10475894;Joseph;Anderson;Male;New York;New York City;Bachelor;23/12/1982;08/09/2018;16/07/2019;Voluntary - Personal Reasons;IT;Software Developer;85541;Band 1 (Bottom 25%);Good;;;Yes;No
00-45159040;Kevin;Stewart;Female;New York;New York City;Bachelor;31/08/1984;19/10/2017;02/02/2021;Voluntary - Better Opportunity;IT;Software Developer;84501;Band 1 (Bottom 25%);Good;;;Yes;No
00-67403166;Shari;Smith;Male;Michigan;Detroit;Master;05/04/1984;29/08/2020;25/02/2021;Voluntary - Career Change;Operations;Operations Analyst;78817;Band 2 (25-50%);Good;;;No;Yes
00-30005727;Yolanda;Ferrell;Male;New York;New York City;Master;05/10/1982;29/01/2020;27/07/2020;Voluntary - Better Opportunity;Operations;Operations Analyst;57272;Band 1 (Bottom 25%);Excellent;;;No;Yes
00-84158663;Amanda;Wagner;Male;New York;New York City;Bachelor;02/10/1987;21/02/2017;;;IT;Software Developer;112534;Band 3 (50-75%);Good;2.4;01/12/2018;Yes;No
00-51373735;Sarah;Ibarra;Male;New York;New York City;High School;28/07/1976;08/12/2018;25/04/2021;Involuntary - Performance;Customer Service;Help Desk Technician;89600;Band 3 (50-75%);Needs Improvement;;;No;No
00-38195995;John;Mitchell;Male;Michigan;Warren;Bachelor;27/09/1962;20/06/2022;17/12/2022;Voluntary - Career Change;Finance;Accountant;92693;Band 3 (50-75%);Good;;;Yes;Yes
00-57469942;Martha;Warner;Female;New York;New York City;Bachelor;01/08/1989;26/08/2017;22/02/2018;Voluntary - Personal Reasons;Sales;Sales Consultant;62847;Band 1 (Bottom 25%);Satisfactory;;;No;Yes
00-30743797;Tonya;Roman;Female;Michigan;Grand Rapids;Bachelor;15/03/1971;24/07/2018;20/01/2019;Voluntary - Career Change;Customer Service;Customer Service Representative;63437;Band 1 (Bottom 25%);Good;;;No;No
00-31810617;Alan;Montoya;Male;Virginia;Virginia Beach;Bachelor;03/02/1998;26/04/2024;23/10/2024;Involuntary - Redundancy;Marketing;Content Creator;69194;Band 2 (25-50%);Needs Improvement;;;Yes;No
00-13326769;Sarah;Garcia;Male;Michigan;Grand Rapids;Bachelor;03/12/1983;08/12/2017;06/06/2018;Voluntary - Career Change;IT;System Administrator;75178;Band 1 (Bottom 25%);Good;;;Yes;No
00-65259205;Dennis;Wilson;Female;New York;New York City;Bachelor;08/03/2002;11/02/2023;10/08/2023;Voluntary - Better Opportunity;Sales;Sales Representative;49181;Band 1 (Bottom 25%);Good;;;No;Yes
00-43308443;Julia;Moore;Male;New York;New York City;Master;23/09/1970;20/04/2017;19/12/2024;Voluntary - Better Opportunity;IT;System Administrator;116735;Band 4 (Top 25%);Excellent;;;Yes;No
00-61343880;Cassandra;Robbins;Female;Pennsylvania;Allentown;Bachelor;05/05/1992;21/03/2023;17/09/2023;Voluntary - Career Change;Customer Service;Customer Service Representative;50588;Band 1 (Bottom 25%);Good;;;No;Yes
00-36786211;Grace;Farrell;Female;Michigan;Detroit;Bachelor;23/06/1972;16/07/2023;12/01/2024;Voluntary - Personal Reasons;Operations;Inventory Specialist;69772;Band 2 (25-50%);Good;;;No;No
00-50962024;Tracy;Whitehead;Male;New York;New York City;High School;26/05/1978;25/11/2017;23/05/2018;Voluntary - Career Change;Operations;Inventory Specialist;65228;Band 2 (25-50%);Needs Improvement;;;No;No
00-13176186;Brent;Walters;Female;New York;New York City;High School;17/07/1982;19/11/2022;18/05/2023;Involuntary - Performance;HR;Recruiter;68351;Band 2 (25-50%);Needs Improvement;;;Yes;No
00-47393469;Joshua;Smith;Female;Illinois;Aurora;Master;25/01/2001;27/10/2023;24/04/2024;Voluntary - Better Opportunity;Sales;Sales Manager;122895;Band 3 (50-75%);Good;;;No;No
00-96098221;David;Whitney;Female;New York;New York City;High School;13/10/1975;03/03/2020;30/08/2020;Voluntary - Better Opportunity;Customer Service;Help Desk Technician;68591;Band 1 (Bottom 25%);Excellent;;;No;Yes
00-81969657;Joyce;Arnold;Male;Michigan;Grand Rapids;Bachelor;11/09/1989;16/06/2018;07/04/2022;Voluntary - Personal Reasons;Customer Service;Support Specialist;68826;Band 2 (25-50%);Satisfactory;;;No;Yes
00-45059710;Ann;Rodriguez;Male;Michigan;Detroit;High School;29/11/1985;09/12/2017;12/06/2019;Voluntary - Career Change;Operations;Inventory Specialist;66185;Band 2 (25-50%);Needs Improvement;;;No;No
00-24549543;Hannah;Hernandez;Female;New York;New York City;High School;28/02/1989;14/01/2020;12/07/2020;Involuntary - Redundancy;Customer Service;Support Specialist;56057;Band 1 (Bottom 25%);Needs Improvement;;;No;Yes
00-52101056;Mary;Aguilar;Male;New York;New York City;Bachelor;04/04/2001;27/02/2019;26/08/2019;Involuntary - Redundancy;Customer Service;Support Specialist;68764;Band 2 (25-50%);Satisfactory;;;No;Yes
00-61700055;Russell;Williams;Female;New York;New York City;High School;19/06/1970;22/05/2023;18/11/2023;Involuntary - Performance;HR;Recruiter;62859;Band 1 (Bottom 25%);Needs Improvement;;;Yes;No
00-15957459;Rachel;Flynn;Female;North Carolina;Raleigh;High School;21/05/1976;01/12/2022;30/05/2023;Involuntary - Performance;Customer Service;Help Desk Technician;81884;Band 2 (25-50%);Needs Improvement;;;No;No
00-82269803;Bill;Howard;Female;New York;New York City;Bachelor;23/02/1972;22/09/2022;21/03/2023;Voluntary - Career Change;Marketing;Marketing Coordinator;71343;Band 2 (25-50%);Satisfactory;;;Yes;No
00-36445607;John;Garcia;Male;North Carolina;Greensboro;PhD;22/11/1982;30/10/2018;25/08/2021;Voluntary - Better Opportunity;Finance;Financial Analyst;98520;Band 2 (25-50%);Excellent;;;Yes;No
00-54318698;Anita;Baxter;Male;Ohio;Cleveland;High School;06/01/2002;30/08/2021;26/02/2022;Involuntary - Performance;Customer Service;Customer Service Representative;59989;Band 1 (Bottom 25%);Needs Improvement;;;No;No
00-26726926;Kara;Frost;Male;New York;New York City;Bachelor;21/12/1967;02/04/2022;29/09/2022;Involuntary - Performance;Sales;Sales Representative;82604;Band 3 (50-75%);Needs Improvement;;;No;No
00-51511484;Michelle;Cherry;Male;New York;New York City;Bachelor;11/01/1980;11/11/2022;10/05/2023;Voluntary - Personal Reasons;Marketing;Content Creator;66941;Band 2 (25-50%);Satisfactory;;;Yes;No
00-49682169;Gregory;Gutierrez;Male;New York;New York City;Bachelor;22/02/1997;10/03/2020;06/09/2020;Involuntary - Redundancy;Operations;Logistics Coordinator;64347;Band 1 (Bottom 25%);Needs Improvement;;;No;No
00-99245317;Jill;Cook;Female;New York;New York City;High School;18/01/1967;27/12/2018;25/06/2019;Involuntary - Performance;Customer Service;Customer Service Representative;65033;Band 2 (25-50%);Needs Improvement;;;No;No
00-33357554;Robert;Santiago;Male;New York;New York City;Master;09/09/1998;13/10/2021;11/04/2022;Voluntary - Better Opportunity;Sales;Sales Specialist;76128;Band 1 (Bottom 25%);Excellent;;;No;Yes
